 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol,
 ,1,YAL012W,0.999150699,0.999150699,0.999921943,0.998949741,
 ,2,YDR384C,1,1,0,1,
 ,3,YHR163W,1,0,0,1,
 ,4,YOR011W,1,0,0,1,
 ,5,YDR050C,0.244784901,0,0,-1.43E-10,
 ,6,YMR323W,1,0,0,1,
 ,7,YLL062C,1,0,0,1,
 ,8,YHR067W,1,1,0,0.999999998,
 ,9,YBR213W,1,0,0,1,
 ,10,YDR481C,1,1,0.999999997,1.000000002,
 ,11,YER014W,1,0,0,1,
 ,12,YMR205C,0.244634905,0.186053781,0,1.000000003,
 ,13,YIL094C,0,0,0,0,
 ,14,YCR005C,1,1,1,0,
 ,15,YPL040C,1,0,0,1,
 ,16,YNL003C,0.999999999,1,0,0.999999999,
 ,17,YDR503C,1,0,0,1,
 ,18,YJL212C,1,0,0,1,
 ,19,YPL244C,1,0,0,1,
 ,20,YDL238C,0,0.999999999,0.999999999,0,
 ,21,YJR153W,1,0,0,1,
 ,22,YLR089C,0,0,1.000000001,0.999999998,
 ,23,YDR513W,1,0,0,1,
 ,24,YEL058W,1,0,0,1,
 ,25,YKL024C,-2.14E-11,-1.40E-11,4.26E-11,-2.22E-10,
 ,26,YLR395C,0.757180381,0.75718038,0,0,
 ,27,YDR305C,1,0,1,0.999999999,
 ,28,YLR348C,1,1,1,0.999999999,
 ,29,YBR121C,1,0,0,1,
 ,30,YEL042W,1,0,0,1,
 ,31,YLR382C,1,0,0,1,
 ,32,YKL188C,1,0,0,1,
 ,33,YFL045C,0,0,0,0,
 ,34,YMR015C,0,1,0,0.999999999,
 ,35,YBL033C,0,-1.15E-11,-3.98E-11,0,
 ,36,Q0085,0,0,0,0,
 ,37,YBR117C,1,0,0,0,
 ,38,YIL124W,1,1,0.999999988,0.999999999,
 ,39,Q0080,0,0,0,0,
 ,40,YGR194C,1,0,0,0.999999997,
 ,41,YMR009W,0,1,0,1,
 ,42,YPL274W,1,0,0,1,
 ,43,YAR073W,1,0,0,1,
 ,44,YJL219W,1,0,0,1,
 ,45,YEL051W,1,0,0,1,
 ,46,YDR046C,1,0,0,1,
 ,47,YKL203C,1,0,0,1,
 ,48,YOR202W,1,0,0,1,
 ,49,YGL245W,1,0,0,1,
 ,50,YER081W,1,0,0,1,
 ,51,YJL070C,1,0,0,1,
 ,52,YNL241C,1,0,0.999999999,1,
 ,53,YER070W,0,0.999999999,0,0,
 ,54,YPL262W,0.977620639,0.977620629,0.999999992,-2.38E-11,
 ,55,YPL036W,1,0,0,1,
 ,56,YKL029C,0.999999999,1,1.000000003,0.999999997,
 ,57,YHR025W,0,0,0,0,
 ,58,YHL036W,1,0,0,1,
 ,59,YML056C,1,0,0,1,
 ,60,YML059C,1,0,0,1,
 ,61,YIL074C,1,0,0,1,
 ,62,YKL104C,1,0,0,1,
 ,63,YCL040W,1,1,1.000000002,0,
 ,64,YLR447C,1,0,0,1,
 ,65,YOL058W,0,0,0,0,
 ,66,YAR035W,1,0,0,1,
