No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol, ,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
1,YAL012W,1.0, ,1.0,1.0,1.0, ,0,m,0,0,
2,YDR384C,1.0, ,1.0,1.0,1.0, ,,,,,
3,YHR163W,1.0, ,1.0,1.0,1.0, ,,,,,
4,YOR011W,1.0, ,1.0,1.0,1.0, ,,,,,
5,YAL044C,1.0, ,1.0,1.0,1.0, ,,,,,
6,YMR323W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
7,YHR067W,1.0, ,1.0,1.0,1.0, ,,,,m,
8,YGR061C,0.0, ,0.0,-0.0,0.0, ,0,0,0,0,0
9,YDR481C,1.0, ,1.0,1.0,1.0, ,,,,,
10,YER014W,1.0, ,1.0,1.0,1.0, ,,,,,
11,YMR205C,0.0, ,0.0,1.0,1.0, ,,,,,
12,YGL225W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
13,YCR005C,1.0, ,1.0,1.0,1.0, ,,,,,
14,YPL040C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
15,YNL003C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
16,YDR503C,1.0, ,1.0,1.0,1.0, ,,,,,
17,YJL212C,1.0, ,1.0,1.0,1.0, ,,,,,
18,YPL244C,1.0, ,1.0,1.0,1.0, ,,,,,
19,YDL238C,1.0, ,1.0,1.0,1.0, ,,,,,
20,YJR153W,1.0, ,1.0,1.0,1.0, ,,,,,
21,YLR089C,1.0, ,1.0,1.0,1.0, ,,,,,
22,YDR513W,1.0, ,1.0,1.0,1.0, ,,,,,
23,YEL058W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
24,YKL024C,-0.0, ,-0.0,0.0,-0.0, ,-,-,-,-,-
25,YDL245C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
26,YLR395C,1.0, ,1.0,0.0,0.0, ,,,,,
27,YLR348C,1.0, ,1.0,1.0,1.0, ,,,,,
28,YBR121C,1.0, ,1.0,1.0,1.0, ,,,,,
29,YEL042W,1.0, ,1.0,1.0,1.0, ,,,,,
30,YLR382C,1.0, ,1.0,1.0,1.0, ,,,0,,0
31,YKL188C,1.0, ,1.0,1.0,1.0, ,,,,,
32,YFL045C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
33,YMR015C,1.0, ,1.0,1.0,1.0, ,,,,,
34,YBL033C,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
35,Q0085,1.0, ,1.0,0.0,0.0, ,-,-,-,-,-
36,YBR117C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
37,YIL124W,1.0, ,1.0,1.0,1.0, ,,,,,
38,Q0080,1.0, ,1.0,0.0,0.0, ,-,-,-,-,-
39,YGR194C,1.0, ,1.0,1.0,1.0, ,,,,,
40,YMR009W,1.0, ,1.0,1.0,1.0, ,,,,,
41,YMR272C,1.0, ,1.0,1.0,1.0, ,,,,,
42,YPL274W,1.0, ,1.0,1.0,1.0, ,,,,,
43,YPL258C,1.0, ,1.0,1.0,1.0, ,,,,,
44,YJL219W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
45,YEL051W,1.0, ,1.0,1.0,1.0, ,,,,,
46,YDR046C,1.0, ,1.0,1.0,1.0, ,,,,,
47,YKL203C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
48,YOR202W,1.0, ,1.0,1.0,1.0, ,,,,,
49,YGL245W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
50,YER081W,1.0, ,1.0,1.0,1.0, ,,,,,
51,YJL070C,1.0, ,1.0,1.0,1.0, ,,,,,
52,YNL241C,1.0, ,1.0,1.0,1.0, ,,,,,
53,YER070W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
54,YPL262W,1.0, ,1.0,1.0,0.0, ,,,,,0
55,YPL036W,1.0, ,1.0,1.0,1.0, ,,,,,
56,YCL069W,1.0, ,1.0,1.0,1.0, ,,,,,
57,YBR221C,1.0, ,1.0,1.0,1.0, ,,,,,
58,YHR025W,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
59,YHL036W,1.0, ,1.0,1.0,1.0, ,,,,,
60,YML059C,1.0, ,1.0,1.0,1.0, ,,,,,
61,YIL074C,1.0, ,1.0,1.0,1.0, ,,,,,
62,YKL104C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
63,YCL040W,1.0, ,1.0,1.0,1.0, ,,,,,
64,YLR447C,1.0, ,1.0,1.0,1.0, ,,,,,
65,YOL058W,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
66,YAR035W,1.0, ,1.0,1.0,1.0, ,,,,,
67,YCR012W,0.0, ,0.0,0.0,-0.0, ,-,-,-,-,-
68,YOL156W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
69,Q0275,1.0, ,1.0,0.0,0.0, ,-,-,-,-,-
70,YPR074C,1.0, ,1.0,1.0,1.0, ,,,,,
71,YPR128C,1.0, ,1.0,1.0,1.0, ,,,,,
72,YBR145W,1.0, ,1.0,1.0,1.0, ,,,,,
73,YDR354W,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
74,YJR049C,1.0, ,1.0,1.0,1.0, ,,,,,
75,YGR020C,1.0, ,1.0,1.0,1.0, ,,,,,
76,YGR121C,1.0, ,1.0,1.0,1.0, ,,,,,
77,YHR042W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
78,YPL268W,1.0, ,1.0,1.0,1.0, ,,,,,
79,YPR002W,1.0, ,1.0,1.0,1.0, ,,,,,
80,YDR242W,1.0, ,1.0,1.0,1.0, ,,,,,
81,YCR083W,1.0, ,1.0,1.0,1.0, ,,,,,
82,YKR067W,1.0, ,1.0,1.0,1.0, ,,,,,
83,YKR061W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
84,YNL267W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
85,YPL104W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
86,YAL054C,1.0, ,1.0,1.0,1.0, ,,,,,
87,YOR192C,1.0, ,1.0,1.0,1.0, ,,,,,
88,YER052C,0.0, ,0.0,0.0,0.0, ,0,0,0,0,0
89,YCR034W,0.0, ,0.0,0.0,0.0, ,,,,,
90,YMR202W,1.0, ,1.0,1.0,1.0, ,,,,,
91,YGL062W,1.0, ,1.0,1.0,1.0, ,,,,,
92,YER003C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
93,YBR252W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
94,YDR173C,1.0, ,1.0,1.0,1.0, ,,,,,
95,YCL030C,1.0, ,1.0,1.0,1.0, ,,,,,
96,YDL021W,1.0, ,1.0,1.0,1.0, ,,,,,
97,YDR399W,1.0, ,1.0,1.0,1.0, ,,,,,
98,YLR043C,1.0, ,1.0,1.0,1.0, ,,,,,
99,YBR029C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
100,YGL037C,1.0, ,1.0,1.0,1.0, ,,,,,
101,YOR120W,1.0, ,1.0,1.0,1.0, ,,,,,
102,YBR263W,1.0, ,1.0,1.0,1.0, ,,,,,
103,YBR035C,1.0, ,1.0,1.0,1.0, ,,,,,
104,YOL086C,1.0, ,1.0,1.0,1.0, ,,,,,
105,YMR113W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
106,YLR300W,1.0, ,1.0,1.0,1.0, ,,,,,
107,YBR298C,1.0, ,1.0,1.0,1.0, ,,,,,
108,YMR084W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
109,YDR019C,1.0, ,1.0,1.0,1.0, ,,,,,
110,YGR010W,1.0, ,1.0,1.0,1.0, ,,,,,
111,YBR019C,1.0, ,0.0,1.0,1.0, ,,,0,,
112,YER119C,1.0, ,1.0,1.0,1.0, ,,,,,
113,YDR380W,1.0, ,1.0,1.0,1.0, ,,,,,
114,YGR191W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
115,YAL060W,1.0, ,1.0,1.0,1.0, ,,,,,
116,YMR006C,1.0, ,1.0,1.0,1.0, ,,,,,
117,YNL117W,1.0, ,1.0,1.0,1.0, ,,,,, 
118,YJR130C,1.0, ,1.0,1.0,1.0, ,,,,,
119,YBR176W,1.0, ,1.0,1.0,1.0, ,,,,,
120,YHR063C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
121,YIL172C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
122,YLR011W,1.0, ,1.0,1.0,1.0, ,,,,,
123,YJL134W,1.0, ,1.0,1.0,1.0, ,,,,,
124,YKL146W,1.0, ,1.0,1.0,1.0, ,,,,,
125,YOL151W,1.0, ,1.0,1.0,1.0, ,,,,,
126,YPR183W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
127,YHR104W,1.0, ,1.0,1.0,1.0, ,,,,,
128,YDL004W,1.0, ,1.0,0.0,0.0, ,-,-,-,-,-
129,YEL017C-A,1.0, ,1.0,1.0,1.0, ,,,,,
130,YJL166W,1.0, ,1.0,0.0,0.0, ,,,,,
131,YJL200C,1.0, ,1.0,1.0,1.0, ,,,,,
132,YKL080W,1.0, ,1.0,1.0,1.0, ,,,,, 
133,YDR403W,1.0, ,1.0,1.0,1.0, ,,,,,
134,YLR377C,1.0, ,1.0,0.0,0.0, ,,,,0,0
135,YGL205W,1.0, ,1.0,1.0,1.0, ,,,,,
136,YCL004W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
137,YDL210W,1.0, ,1.0,1.0,1.0, ,,,,,
138,YDR376W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
139,YKL194C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
140,YNR013C,1.0, ,1.0,1.0,1.0, ,,,,,
141,YPL148C,1.0, ,1.0,1.0,1.0, ,,,0,0,0
142,YPL271W,1.0, ,1.0,0.0,0.0, ,,,0,0,0
143,YLL061W,1.0, ,1.0,1.0,1.0, ,,,,,
144,YMR226C,1.0, ,1.0,1.0,1.0, ,,,,,
145,YLR237W,1.0, ,1.0,1.0,1.0, ,,,,,
146,YDR531W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
147,YIL013C,1.0, ,1.0,1.0,1.0, ,,,,,
