 ,No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
 ,1,YAL012W,0.0,0.0,0.0,0.0,0.0
 ,2,YDR384C,1.0,1.0,1.0,1.0,1.0
 ,3,YHR163W,1.0,1.0,1.0,1.0,1.0
 ,4,YOR011W,1.0,1.0,1.0,1.0,1.0
 ,5,YDR050C,0.0,0.0,0.0,0.0,0.0
 ,6,YMR323W,1.0,1.0,1.0,1.0,1.0
 ,7,YLL062C,1.0,1.0,1.0,1.0,1.0
 ,8,YHR067W,1.0,1.0,1.0,1.0,1.0
 ,9,YBR213W,1.0,1.0,1.0,1.0,1.0
 ,10,YDR481C,1.0,1.0,1.0,1.0,1.0
 ,11,YER014W,1.0,1.0,1.0,1.0,1.0
 ,12,YMR205C,0.0,0.0,0.0,1.0,1.0
 ,13,YIL094C,0.0,0.0,0.0,0.0,0.0
 ,14,YCR005C,1.0,1.0,1.0,1.0,1.0
 ,15,YPL040C,1.0,1.0,1.0,1.0,1.0
 ,16,YNL003C,1.0,1.0,1.0,1.0,1.0
 ,17,YDR503C,1.0,1.0,1.0,1.0,1.0
 ,18,YJL212C,1.0,1.0,1.0,1.0,1.0
 ,19,YPL244C,1.0,1.0,1.0,1.0,1.0
 ,20,YDL238C,1.0,1.0,1.0,1.0,1.0
 ,21,YJR153W,1.0,1.0,1.0,1.0,1.0
 ,22,YLR089C,1.0,1.0,1.0,1.0,1.0
 ,23,YDR513W,1.0,1.0,1.0,1.0,1.0
 ,24,YEL058W,1.0,1.0,1.0,1.0,1.0
 ,25,YKL024C,0.0,0.0,0.0,0.0,0.0
 ,26,YLR395C,1.0,1.0,1.0,0.0,0.0
 ,27,YDR305C,1.0,1.0,1.0,1.0,1.0
 ,28,YLR348C,1.0,1.0,1.0,1.0,1.0
 ,29,YBR121C,1.0,1.0,1.0,1.0,1.0
 ,30,YEL042W,1.0,1.0,1.0,1.0,1.0
 ,31,YLR382C,1.0,1.0,1.0,1.0,1.0
 ,32,YKL188C,1.0,1.0,1.0,1.0,1.0
 ,33,YFL045C,0.0,0.0,0.0,0.0,0.0
 ,34,YMR015C,1.0,1.0,1.0,1.0,1.0
 ,35,YBL033C,0.0,0.0,0.0,0.0,0.0
 ,36,Q0085,1.0,1.0,1.0,0.0,0.0
 ,37,YBR117C,1.0,1.0,1.0,1.0,1.0
 ,38,YIL124W,1.0,1.0,1.0,1.0,1.0
 ,39,Q0080,1.0,1.0,1.0,0.0,0.0
 ,40,YGR194C,1.0,1.0,1.0,1.0,1.0
 ,41,YMR009W,1.0,1.0,1.0,1.0,1.0
 ,42,YPL274W,1.0,1.0,1.0,1.0,1.0
 ,43,YAR073W,1.0,1.0,1.0,1.0,1.0
 ,44,YJL219W,1.0,1.0,1.0,1.0,1.0
 ,45,YEL051W,1.0,1.0,1.0,1.0,1.0
 ,46,YDR046C,1.0,1.0,1.0,1.0,1.0
 ,47,YKL203C,1.0,1.0,1.0,1.0,1.0
 ,48,YOR202W,1.0,1.0,1.0,1.0,1.0
 ,49,YGL245W,1.0,1.0,1.0,1.0,1.0
 ,50,YER081W,1.0,1.0,1.0,1.0,1.0
 ,51,YJL070C,1.0,1.0,1.0,1.0,1.0
 ,52,YNL241C,1.0,1.0,1.0,1.0,1.0
 ,53,YER070W,1.0,1.0,1.0,1.0,1.0
 ,54,YPL262W,1.0,1.0,1.0,1.0,0.0
 ,55,YPL036W,1.0,1.0,1.0,1.0,1.0
 ,56,YKL029C,1.0,1.0,1.0,1.0,1.0
 ,57,YHR025W,0.0,0.0,0.0,0.0,0.0
 ,58,YHL036W,1.0,1.0,1.0,1.0,1.0
 ,59,YML056C,1.0,1.0,1.0,1.0,1.0
 ,60,YML059C,1.0,1.0,1.0,1.0,1.0
 ,61,YIL074C,1.0,1.0,1.0,1.0,1.0
 ,62,YKL104C,1.0,1.0,1.0,1.0,1.0
 ,63,YCL040W,1.0,1.0,1.0,1.0,1.0
 ,64,YLR447C,1.0,1.0,1.0,1.0,1.0
 ,65,YOL058W,0.0,0.0,0.0,0.0,0.0
 ,66,YAR035W,1.0,1.0,1.0,1.0,1.0
 ,67,YCR012W,0.0,0.0,0.0,0.0,0.0
 ,68,YOL156W,1.0,1.0,1.0,1.0,1.0
 ,69,Q0275,1.0,1.0,1.0,0.0,0.0
 ,70,YPR074C,1.0,1.0,1.0,1.0,1.0
 ,71,YPR128C,1.0,1.0,1.0,1.0,1.0
 ,72,YGR244C,1.0,1.0,1.0,1.0,1.0
 ,73,YDR354W,0.0,0.0,0.0,0.0,0.0
 ,74,YJR049C,1.0,1.0,1.0,1.0,1.0
 ,75,YGR020C,1.0,1.0,1.0,1.0,1.0
 ,76,YGR121C,1.0,1.0,1.0,1.0,1.0
 ,77,YHR042W,0.0,0.0,0.0,0.0,0.0
 ,78,YMR289W,1.0,1.0,1.0,1.0,1.0
 ,79,YPR002W,1.0,1.0,1.0,1.0,1.0
 ,80,YDR242W,1.0,1.0,1.0,1.0,1.0
 ,81,YCR083W,1.0,1.0,1.0,1.0,1.0
 ,82,YKR067W,1.0,1.0,1.0,1.0,1.0
 ,83,YJL198W,1.0,1.0,1.0,1.0,1.0
 ,84,YNL267W,1.0,1.0,1.0,1.0,1.0
 ,85,YPL104W,1.0,1.0,1.0,1.0,1.0
 ,86,YAL054C,1.0,1.0,1.0,1.0,1.0
 ,87,YOR192C,1.0,1.0,1.0,1.0,1.0
 ,88,YER052C,0.0,0.0,0.0,0.0,0.0
 ,89,YDL185W,1.0,1.0,1.0,1.0,1.0
 ,90,YMR202W,1.0,1.0,1.0,1.0,1.0
 ,91,YGL062W,1.0,1.0,1.0,1.0,1.0
 ,92,YER003C,0.0,0.0,0.0,0.0,0.0
 ,93,YBR252W,1.0,1.0,1.0,1.0,1.0
 ,94,YDR173C,1.0,1.0,1.0,1.0,1.0
 ,95,YCL030C,1.0,1.0,1.0,1.0,1.0
 ,96,YDL021W,1.0,1.0,1.0,1.0,1.0
 ,97,YDR399W,1.0,1.0,1.0,1.0,1.0
 ,98,YLR043C,1.0,1.0,1.0,1.0,1.0
 ,99,YBR029C,0.0,0.0,0.0,0.0,0.0
 ,100,YGL037C,1.0,1.0,1.0,1.0,1.0
 ,101,YPL268W,1.0,1.0,1.0,1.0,1.0
 ,102,YOR120W,1.0,1.0,1.0,1.0,1.0
 ,103,YBR263W,1.0,1.0,1.0,1.0,1.0
 ,104,YBR035C,1.0,1.0,1.0,1.0,1.0
 ,105,YOL086C,1.0,1.0,1.0,1.0,1.0
 ,106,YMR113W,1.0,1.0,1.0,1.0,1.0
 ,107,YLR300W,1.0,1.0,1.0,1.0,1.0
 ,108,YMR084W,1.0,1.0,1.0,1.0,1.0
 ,109,YDR019C,1.0,1.0,1.0,1.0,1.0
 ,110,YGR010W,1.0,1.0,1.0,1.0,1.0
 ,111,YBR019C,1.0,1.0,0.0,1.0,1.0
 ,112,YER119C,1.0,1.0,1.0,1.0,1.0
 ,113,YDR380W,1.0,1.0,1.0,1.0,1.0
 ,114,YGR191W,1.0,1.0,1.0,1.0,1.0
 ,115,YAL060W,1.0,1.0,1.0,1.0,1.0
 ,116,YMR006C,1.0,1.0,1.0,1.0,1.0
 ,117,YJR130C,1.0,1.0,1.0,1.0,1.0
 ,118,YOR388C,1.0,1.0,1.0,1.0,1.0
 ,119,YHR063C,1.0,1.0,1.0,1.0,1.0
 ,120,YIL172C,1.0,1.0,1.0,1.0,1.0
 ,121,YLR011W,1.0,1.0,1.0,1.0,1.0
 ,122,YJL134W,1.0,1.0,1.0,1.0,1.0
 ,123,YKL146W,1.0,1.0,1.0,1.0,1.0
 ,124,YBL068W,1.0,1.0,1.0,1.0,1.0
 ,125,YPR183W,0.0,0.0,0.0,0.0,0.0
 ,126,YHR104W,1.0,1.0,1.0,1.0,1.0
 ,127,YDL004W,1.0,1.0,1.0,0.0,0.0
 ,128,YEL017C-A,1.0,1.0,1.0,1.0,1.0
 ,129,YJL166W,1.0,1.0,1.0,0.0,0.0
 ,130,YJL200C,1.0,1.0,1.0,1.0,1.0
 ,131,YKL080W,1.0,1.0,1.0,1.0,1.0
 ,132,YDR403W,1.0,1.0,1.0,1.0,1.0
 ,133,YGR096W,1.0,1.0,1.0,1.0,1.0
