 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol
 ,1,YAL012W,0.0,0.9991506987812652,0.9999219434044968,0.9989497439994055
 ,2,YDR384C,0.9999999998414151,0.0,0.0,0.9999999986455514
 ,3,YHR163W,0.0,0.0,0.0,0.0
 ,4,YOR011W,0.0,0.0,0.0,0.0
 ,5,YDR050C,0.0,0.24478490672324957,0.41255421760867755,0.0
 ,6,YMR323W,0.0,0.0,0.0,0.0
 ,7,YLL062C,0.0,0.0,0.0,0.0
 ,8,YHR067W,0.0,0.9999999999577261,0.0,0.0
 ,9,YBR213W,0.0,0.0,0.0,0.0
 ,10,YDR481C,0.0,0.0,0.0,0.0
 ,11,YER014W,0.0,0.0,0.0,0.0
 ,12,YMR205C,0.0,0.0,0.0,1.0000000030442229
 ,13,YIL094C,0.0,0.0,0.0,0.0
 ,14,YCR005C,0.0,0.9999999998421365,0.0,0.0
 ,15,YPL040C,0.0,0.0,0.0,0.0
 ,16,YNL003C,0.999999999502397,0.9999999997332408,0.0,1.000000005098296
 ,17,YDR503C,0.0,0.0,0.0,0.0
 ,18,YJL212C,0.0,0.0,0.0,0.0
 ,19,YPL244C,0.0,0.0,0.0,0.0
 ,20,YDL238C,0.9999999987375604,0.9999999993516474,0.9999999999999853,1.0000000043398867
 ,21,YJR153W,0.0,0.0,0.0,0.0
 ,22,YLR089C,0.0,0.0,0.0,0.9999999999283509
 ,23,YDR513W,0.0,0.0,0.0,0.0
 ,24,YEL058W,0.0,0.0,0.0,0.0
 ,25,YKL024C,0.0,0.0,0.0,-9.792482120270752e-10
 ,26,YLR395C,0.0,0.0,0.0,0.0
 ,27,YDR305C,0.9999999996796098,0.0,0.0,0.0
 ,28,YLR348C,0.0,0.0,0.0,0.999999999829009
 ,29,YBR121C,0.0,0.0,0.0,0.0
 ,30,YEL042W,0.0,0.0,0.0,0.0
 ,31,YLR382C,0.0,0.0,0.0,0.0
 ,32,YKL188C,0.9999999996049376,0.0,0.0,0.9999999994774839
 ,33,YFL045C,0.0,0.0,0.0,0.0
 ,34,YMR015C,0.9999999986711071,0.0,0.9999999992785212,0.0
 ,35,YBL033C,0.0,1.1427256567545637e-07,0.0,0.0
 ,36,Q0085,0.0,0.0,0.0,0.0
 ,37,YBR117C,0.0,0.0,0.0,1.0000000172082797
 ,38,YIL124W,0.0,0.9999999999377586,1.0000000087936014,0.9999999994774561
 ,39,Q0080,0.0,0.0,0.0,0.0
 ,40,YGR194C,0.0,0.0,0.0,0.0
 ,41,YMR009W,0.0,0.0,0.0,0.0
 ,42,YPL274W,0.0,0.0,0.0,0.0
 ,43,YAR073W,0.0,0.0,0.0,0.0
 ,44,YJL219W,0.0,0.0,0.0,0.0
 ,45,YEL051W,0.0,0.0,0.0,0.0
 ,46,YDR046C,0.0,0.0,0.0,0.0
 ,47,YKL203C,0.0,0.0,0.0,0.0
 ,48,YOR202W,0.0,0.0,0.0,0.0
 ,49,YGL245W,0.0,0.0,0.0,0.0
 ,50,YER081W,0.0,0.0,0.0,0.0
 ,51,YJL070C,0.0,0.0,0.0,0.0
 ,52,YNL241C,0.0,0.0,0.0,0.0
 ,53,YER070W,0.0,0.9999999997945821,0.0,0.0
 ,54,YPL262W,0.0,0.0,0.0,0.0
 ,55,YPL036W,0.0,0.0,0.0,0.0
 ,56,YKL029C,0.0,0.0,1.0000000024409432,0.0
 ,57,YHR025W,0.0,0.0,0.0,0.0
 ,58,YHL036W,0.0,0.0,0.0,0.0
 ,59,YML056C,0.0,0.0,0.0,0.0
 ,60,YML059C,0.0,0.0,1.0000000001941205,0.9999999998039307
 ,61,YIL074C,0.0,0.0,0.0,0.0
 ,62,YKL104C,0.0,0.0,0.0,0.0
 ,63,YCL040W,0.0,0.0,0.0,0.0
 ,64,YLR447C,0.0,0.0,0.0,0.0
 ,65,YOL058W,0.0,0.0,0.0,0.0
 ,66,YAR035W,0.0,0.0,0.0,0.0
 ,67,YCR012W,0.0,0.0,0.0,0.0
 ,68,YOL156W,0.0,0.0,0.0,0.0
 ,69,Q0275,0.0,0.0,0.0,0.0
 ,70,YPR074C,0.0,0.0,0.0,0.0
 ,71,YPR128C,0.0,1.0000000000104292,0.9999999963077743,0.0
 ,72,YGR244C,0.9864981013742039,0.0,0.0,0.9999999994774519
 ,73,YDR354W,0.0,0.0,0.0,0.0
 ,74,YJR049C,0.0,0.0,0.0,0.0
 ,75,YGR020C,0.0,0.0,0.0,0.0
 ,76,YGR121C,0.0,0.0,0.0,0.0
 ,77,YHR042W,0.0,0.0,0.0,0.0
 ,78,YMR289W,0.9999999995532177,0.0,0.9999999997238245,1.0000000060305125
 ,79,YPR002W,0.0,1.0000000000259064,0.0,0.0
 ,80,YDR242W,0.0,0.0,0.0,0.0
 ,81,YCR083W,0.0,0.999999999915925,1.0000000002258091,0.0
 ,82,YKR067W,0.0,0.0,0.0,0.0
