mai,No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
 ,1,YAL012W,0,0,0,0,0
 ,2,YDR384C,1,1,1,1.000000007,1
 ,3,YHR163W,1,1,1,1.000000007,1.000000001
 ,4,YOR011W,1,1,1,1.000000007,1.000000001
 ,5,YDR050C,0.244784903,0.244784903,0.244784899,0.412554214,9.11E-08
 ,6,YMR323W,1,1,1.000000004,1.000000006,1
 ,7,YLL062C,1,1,1.000000004,1.000000006,1
 ,8,YHR067W,1,1,1,1.000000006,1
 ,9,YBR213W,1,1,1,1.000000006,1
 ,10,YDR481C,1,1,1,1.000000006,1
 ,11,YER014W,1,1,1,1.000000006,1
 ,12,YMR205C,0.244634908,0.244634908,0.186053781,1.000000006,1.000000067
 ,13,YIL094C,0,0,0,0,0
 ,14,YCR005C,0.999999999,0.999999999,0.999999994,1.000000006,1
 ,15,YPL040C,1,1,0.999999999,1.000000006,1
 ,16,YNL003C,1,1.000000007,1,0.999999994,1
 ,17,YDR503C,1,1.000000007,1,0.999999994,1
 ,18,YJL212C,1,1.000000007,1,0.999999994,1
 ,19,YPL244C,1,1.000000007,1,0.999999994,1
 ,20,YDL238C,1,1.000000007,1,0.999999994,1
 ,21,YJR153W,1,1.000000007,1,0.999999994,1
 ,22,YLR089C,1,1.000000007,1,0.999999994,1
 ,23,YDR513W,1,1.000000007,1,0.999999994,1
 ,24,YEL058W,1,1.000000007,1,0.999999994,1
 ,25,YKL024C,3.42E-10,0,0,0,0
 ,26,YLR395C,0.75718038,0.75718038,0.757180381,0,0
 ,27,YDR305C,1,1,1,1.000000006,1
 ,28,YLR348C,0.99999999,1,1,1.000000006,1
 ,29,YBR121C,1,1,1,1.000000006,1
 ,30,YEL042W,1,1,0.999999999,1.000000006,1
 ,31,YLR382C,1,1,0.999999999,1.000000006,1
 ,32,YKL188C,1,1,0.999999999,1.000000006,1
 ,33,YFL045C,0,0,0,0,0
 ,34,YMR015C,1,1,0.999999997,0.999999998,1.000000002
 ,35,YBL033C,0,0,0,0,0
 ,36,Q0085,0.822271216,0.822271216,0.822271208,0.401941709,0
 ,37,YBR117C,1,1,1,1.000000006,1.000000001
 ,38,YIL124W,1,0.999999999,1,1.000000006,1
 ,39,Q0080,0.822271215,0.822271217,0.822271211,0.401941667,0
 ,40,YGR194C,1,1,1,1.000000007,1
 ,41,YMR009W,1,0.999999997,1,1.000000007,1.000000003
 ,42,YPL274W,1,1,1,1.000000006,1
 ,43,YAR073W,1,1,0.999999998,1.000000006,1
 ,44,YJL219W,1,1,1.000000002,1.000000004,1
 ,45,YEL051W,1,1,1.000000002,1.000000004,1
 ,46,YDR046C,1,1,1.000000002,1.000000004,1
 ,47,YKL203C,1,1,1.000000002,1.000000004,1
 ,48,YOR202W,1,1,1.000000002,1.000000004,1
 ,49,YGL245W,1,1,1.000000002,1.000000004,1
 ,50,YER081W,1,1,1.000000002,1.000000004,1
 ,51,YJL070C,1,1,1.000000002,1.000000004,1
 ,52,YNL241C,1,1,1.000000002,1.000000004,1
 ,53,YER070W,1,0.999999997,1.000000002,1.000000014,1
 ,54,YPL262W,0.977620639,0.977620639,0.977620639,1.000000008,0
 ,55,YPL036W,0.999999999,1.000000004,1.000000018,1.000000006,1
 ,56,YKL029C,1.000000004,1,1,1.000000006,1
 ,57,YHR025W,0,0,0,0,0
 ,58,YHL036W,1,1,1.000000001,1.000000006,1.00000001
 ,59,YML056C,1,1,1.000000001,1.000000006,1.00000001
 ,60,YML059C,1,1,0.999999998,1.000000005,0.999999986
 ,61,YIL074C,1,1,0.999999998,1.000000005,0.999999986
 ,62,YKL104C,1,1,0.999999998,1.000000005,0.999999986
 ,63,YCL040W,1,1,0.999999998,1.000000005,0.999999986
 ,64,YLR447C,1,1,0.999999998,1.000000005,0.999999986
 ,65,YOL058W,0,0,0,0,0
 ,66,YAR035W,1,0.999999999,1,1.000000006,1.000000001
 ,67,YCR012W,0.140765811,0.140765811,0.14076582,0.461204829,8.33E-10
 ,68,YOL156W,1,0.999999995,1.000000001,1.000000004,1
 ,69,Q0275,0.75718038,0.75718038,0.757180381,0,0
 ,70,YPR074C,1.000000003,1,1,1.000000006,1.000000002
 ,71,YPR128C,1,1.000000005,0.999999999,0.999999999,1
 ,72,YGR244C,0.986498101,0.986498101,0.986498102,0.999999999,1
 ,73,YDR354W,0,0,0,0,0
 ,74,YJR049C,1,0.999999999,1,1.000000006,1
 ,75,YGR020C,1.000000001,0.999999996,1,1.000000006,1
 ,76,YGR121C,1.000000001,0.999999996,1,1.000000006,1
 ,77,YHR042W,0,0,0,0,0
 ,78,YMR289W,1,1.000000006,1,1.000000006,1
 ,79,YPR002W,1,1,1,1.000000006,0.999999992
 ,80,YDR242W,1,1,1,1.000000008,1
 ,81,YCR083W,1,1,1.000000004,1.000000008,1
 ,82,YKR067W,1,1,1.000000004,1.000000008,1
 ,83,YJL198W,1,1,1.000000004,1.000000008,1
 ,84,YNL267W,1,1,1.000000002,1.000000004,0.999999999
 ,85,YPL104W,1,1,1.000000004,1.000000008,1
 ,86,YAL054C,1,1,1.000000004,1.000000008,0.927567165
 ,87,YOR192C,1,1,1.000000004,1.000000008,1
 ,88,YER052C,0,0,0,0,0
 ,89,YDL185W,1.000000003,1,1,1.00000001,0.999999996
 ,90,YMR202W,1.000000004,1,1.000000001,1.000000005,1
 ,91,YGL062W,1.000000004,1,1.000000001,1.000000005,1
 ,92,YER003C,0,0,0,0,0
 ,93,YBR252W,1,1,1,1.000000006,0.999999996
 ,94,YDR173C,1.000000004,1,0.999999998,1.00000002,1
 ,95,YCL030C,1.000000004,1,0.999999998,1.00000002,1
 ,96,YDL021W,1.000000004,1,0.999999998,1.00000002,1
 ,97,YDR399W,1.000000004,1,0.999999998,1.00000002,1
 ,98,YLR043C,1.000000004,1,0.999999998,1.00000002,1
 ,99,YBR029C,0,0,0,0,0
 ,100,YGL037C,1,0.999999999,1.000000003,1.000000004,1
 ,101,YPL268W,1,1,1.000000003,1.000000006,1
 ,102,YOR120W,1,1,1,0.983753335,1
 ,103,YBR263W,1,1,1,0.994809764,0.992181051
 ,104,YBR035C,1,1,1,1.000000006,1.000000007
 ,105,YOL086C,1,0.999999989,1.000000004,1.000000008,1
 ,106,YMR113W,1,0.999999989,1.000000004,1.000000008,1
 ,107,YLR300W,1,0.999999989,1.000000004,1.000000008,1
 ,108,YMR084W,1,0.999999989,1.000000004,1.000000008,1
 ,109,YDR019C,1,0.999999989,1.000000003,0.994809764,0.99218105
 ,110,YGR010W,1,1,1,1.000000006,1
 ,111,YBR019C,1,1,0,1.000000006,1
 ,112,YER119C,1,0.999999986,1.000000003,1.000000006,1
 ,113,YDR380W,1,1,1,1.000000006,1.000000022
