cutoff[.0] = {0: [680, 38, 3, 0], 1: [629, 87, 4, 2], 2: [632, 84, 3, 0], 3: [621, 98, 2, 0]}
cutoff[0.25] = {0: [658, 8, 33, 22], 1: [609, 55, 36, 22], 2: [605, 47, 40, 27], 3: [594, 45, 55, 27]}
cutoff[0.6] = {0: [658, 8, 33, 22], 1: [609, 55, 36, 22], 2: [600, 41, 46, 32], 3: [594, 45, 55, 27]}
cutoff[0.1] = {0: [661, 8, 33, 19], 1: [612, 55, 36, 19], 2: [605, 47, 40, 27], 3: [594, 45, 55, 27]}
cutoff[0.2] = {0: [661, 8, 33, 19], 1: [610, 55, 36, 21], 2: [605, 47, 40, 27], 3: [594, 45, 55, 27]}
cutoff[0.4] = {0: [658, 8, 33, 22], 1: [609, 55, 36, 22], 2: [605, 47, 40, 27], 3: [594, 45, 55, 27]}
cutoff[0.3] = {0: [658, 8, 33, 22], 1: [609, 55, 36, 22], 2: [605, 47, 40, 27], 3: [594, 45, 55, 27]}
cutoff[0.8] = {0: [644, 8, 33, 36], 1: [602, 48, 43, 29], 2: [600, 41, 46, 32], 3: [594, 45, 55, 27]}
cutoff[0.15] = {0: [661, 8, 33, 19], 1: [612, 55, 36, 19], 2: [605, 47, 40, 27], 3: [594, 45, 55, 27]}
cutoff[0.05] = {0: [661, 8, 33, 19], 1: [612, 55, 36, 19], 2: [605, 47, 40, 27], 3: [594, 45, 55, 27]}
cutoff[0.9] = {0: [634, 8, 33, 46], 1: [599, 41, 50, 32], 2: [599, 41, 46, 33], 3: [593, 45, 55, 28]}
cutoff[0.85] = {0: [634, 8, 33, 46], 1: [599, 41, 50, 32], 2: [599, 41, 46, 33], 3: [593, 45, 55, 28]}
cutoff[0.75] = {0: [658, 8, 33, 22], 1: [609, 55, 36, 22], 2: [600, 41, 46, 32], 3: [594, 45, 55, 27]}
cutoff[0.45] = {0: [658, 8, 33, 22], 1: [609, 55, 36, 22], 2: [600, 41, 46, 32], 3: [594, 45, 55, 27]}
cutoff[0.7] = {0: [658, 8, 33, 22], 1: [609, 55, 36, 22], 2: [600, 41, 46, 32], 3: [594, 45, 55, 27]}
cutoff[0.35] = {0: [658, 8, 33, 22], 1: [609, 55, 36, 22], 2: [605, 47, 40, 27], 3: [594, 45, 55, 27]}
cutoff[0.95] = {0: [634, 8, 33, 46], 1: [599, 41, 50, 32], 2: [599, 41, 46, 33], 3: [591, 44, 56, 30]}
cutoff[0.55] = {0: [658, 8, 33, 22], 1: [609, 55, 36, 22], 2: [600, 41, 46, 32], 3: [594, 45, 55, 27]}
cutoff[0.65] = {0: [658, 8, 33, 22], 1: [609, 55, 36, 22], 2: [600, 41, 46, 32], 3: [594, 45, 55, 27]}
cutoff[0.5] = {0: [658, 8, 33, 22], 1: [609, 55, 36, 22], 2: [600, 41, 46, 32], 3: [594, 45, 55, 27]}
