No.,Reaction number in iLL672,ORF,glucose(aerobe),glucose (anaerobe),galactose,glycerol,ethanol,Plate,row,col,ORF,gene name(s),brief id 
1,    'not included in iLL672',YAL068C,,,,,,1,A,1,YAL068C,,"biological_process unknown, molecular_function unknown, "
2,    'not included in iLL672',YAL067C,,,,,,1,A,2,YAL067C,SEO1,putative permease 
3,    'not included in iLL672',YAL066W,,,,,,1,A,3,YAL066W,,"biological_process unknown, molecular_function unknown, "
4,    'not included in iLL672',YAL065C,,,,,,1,A,4,YAL065C,,"biological_process unknown, molecular_function unknown, "
5,    'part of iLL672',YAL062W,,,,,,1,A,5,YAL062W,"GDH3, FUN51","NADP-linked glutamate dehydrogenase,glutamate dehydrogenase (NADP+),"
6,    'not included in iLL672',YAL061W,,,,,,1,A,6,YAL061W,,"biological_process unknown, molecular_function unknown, "
7,    'not included in iLL672',YAL060W,,,,,,1,A,7,YAL060W,,"biological_process unknown, molecular_function unknown, "
8,    'not included in iLL672',YAL059W,,,,,,1,A,8,YAL059W,ECM1,"putative transmembrane domain protein involved in cell wall biogenesis,molecular_function unknown, "
9,    'not included in iLL672',YAL058W,,,,,,1,A,9,YAL058W,"CNE1, FUN48",Calnexin and calreticulin homolog 
10,    'not included in iLL672',YAL056W,,,,,,1,A,10,YAL056W,,"G protein effector, function unknown,  similarity to hypothetical protein YOR371c"
11,    'not included in iLL672',YAL055W,,,,,,1,A,11,YAL055W,"PEX22, YAF5","protein-peroxisome targeting, molecular_function unknown, peroxisome"
12,    'not included in iLL672',YAL053W,,,,,,1,A,12,YAL053W,,"biological_process unknown, molecular_function unknown, "
13,    'not included in iLL672',YAL051W,,,,,,1,B,1,YAL051W,"OAF1, YAF1","transcription factor, transcription regulation from Pol I promoter, specific RNA polymerase II transcription factor, nucleus"
14,    'not included in iLL672',YAL049C,,,,,,1,B,2,YAL049C,,"biological_process unknown, molecular_function unknown, "
15,    'not included in iLL672',YAL048C,,,0,0,0,1,B,3,YAL048C,,molecular_function unknown 
16,    'not included in iLL672',YAL046C,,,,,,1,B,4,YAL046C,,"biological_process unknown, molecular_function unknown, "
17,    'not included in iLL672',YAL045C,,,,,,1,B,5,YAL045C,,"biological_process unknown, molecular_function unknown, "
18,    'not included in iLL672',YAL044C,,,,,,1,B,6,YAL044C,GCV3,"H-protein subunit of the glycine cleavage system, glycine metabolism,"
19,    'not included in iLL672',YAL042W,,,,,,1,B,7,YAL042W,"ERV46, FUN9","ER-Golgi transport vesicle protein, biological_process unknown, molecular_function unknown,"
20,    'not included in iLL672',YAL043C-a,,,,,,1,B,8,YAL043C-a,KRE23,"biological_process unknown, molecular_function unknown, "
21,    'not included in iLL672',YAL040C,,,,,,1,B,9,YAL040C,"CLN3, DAF1, FUN10, WHI1","G(sub)1 cyclin, G1/S transition of mitotic cell cycle*, G1/S-specific cyclin, nucleus"
22,    'not included in iLL672',YAL039C,,,0,0,0,1,B,10,YAL039C,CYC3,"cytochrome c heme lyase (CCHL),holocytochrome c synthase, "
23,    'not included in iLL672',YAL037W,,,,,,1,B,11,YAL037W,,"biological_process unknown, molecular_function unknown, "
